zipcode,population,pop_density
30456,1936,10.1
30811,1906,10
30816,2024,6.2
30830,13828,15
30216,2376,27.8
30233,23245,57.8
30234,2060,64.3
39842,8021,11.4
39866,2241,14.6
39886,1783,5.1
31547,1420,198.2
31548,21146,136.2
31558,21307,103.5
31565,2008,5.4
31568,685,3.8
31569,5831,32.1
30439,10823,17.3
30451,47,167.9
30108,7351,31.8
30109,7351,31.8
30112,13190,74.1
30116,24161,87.4
30117,35575,120.9
30118,2180,2449.7
30119,2180,2449.7
30150,1935,69.4
30170,2943,25.3
30179,19109,86.8
30180,37325,176.6
30185,4160,23.7
30726,0,164.2
30736,43149,123.2
30742,7842,859.9
31537,10970,13.3
31302,8139,67.9
31322,25459,280.3
31328,3583,228
31401,20256,1741.4
31402,20256,1741.4
31403,20256,1741.4
31404,32876,798.8
31405,37497,471.7
31406,35457,505.7
31407,12808,97.3
31408,10516,157
31409,701,37.8
31410,24445,461.8
31411,8875,152.8
31412,8875,152.8
31414,8875,152.8
31415,12386,765.5
31416,12386,765.5
31418,12386,765.5
31419,58252,305.9
31420,58252,305.9
31421,58252,305.9
31805,2431,17.4
30730,1933,13.9
30731,2221,10.8
30747,15438,35.6
30753,7330,63.1
30107,14606,45.8
30114,53210,179.2
30115,41105,226.6
30142,23326,294.5
30146,7142,40.7
30151,1935,69.4
30169,26301,748.5
30183,6279,33.2
30188,63171,459.8
30189,38550,731.6
30601,23685,341.1
30602,2824,1297.8
30603,2824,1297.8
30604,2824,1297.8
30605,41451,421
30606,43716,509.7
30607,10748,118.6
30608,10748,118.6
30609,2291,32314
30612,2291,32314
30683,6601,66.6
39823,7762,9.4
39824,528,3.7
39836,274,2.3
39846,1733,10.9
39851,2090,7.6
39854,2390,7.7
39867,482,1.4
30236,49694,556.6
80502,41951,1232.5
80503,34791,131.7
80510,323,2.5
80533,223,2.5
80540,4552,10.9
80544,119,873.1
80023,21368,338.1
81201,9161,7.5
81211,8076,6.4
81227,6,10.5
81228,6,10.5
81236,1364,2
81242,561,105.8
80802,322,0.2
80810,1231,0.8
80825,434,0.2
80862,44,0.1
80436,517,17.8
80438,502,3.4
80444,1232,13.1
80452,3091,9.2
80476,178,1.3
81120,2070,1
81124,204,7.5
81129,73,14.2
81140,2351,4.1
81141,1444,11.8
81148,312,668.7
81151,1796,2.5
81123,937,1.2
81126,194,5.5
81133,1199,0.9
81138,58,0.9
81152,1170,1.3
81033,251,185
81034,251,185
81062,1775,3.9
81063,2867,2.6
81076,705,0.6
81252,4003,2.4
81253,445,1.2
81410,1483,28
81413,4988,9.6
81414,4988,9.6
81415,1506,2.2
81416,14273,15.9
81418,1736,32.1
81419,3852,7.4
81420,3852,7.4
81428,3272,6.5
80201,33603,181.9
80202,13756,3498.7
80203,20937,6778.6
80204,34098,2187
80205,34381,2471.7
80206,24527,3373.5
80207,26592,1793.8
80208,26592,1793.8
80209,25271,2383.1
80210,36296,2159.6
80211,34144,2710.7
80212,19652,1951.5
80216,13118,400.5
80217,13118,400.5
80218,19129,4334.1
80219,69190,3152.8
80220,35999,2472.2
80222,23044,1954.9
80223,20650,1326.7
80224,19253,2115.8
80227,36034,1750.3
80230,9349,1173.2
80231,37241,2625.9
80235,8742,801.5
80236,18795,1937.2
80237,20982,1886
80238,19901,798.8
80239,47489,1565.9
80243,33431,1856.1
80244,33431,1856.1
80246,13607,2878.6
80247,29105,3350.1
80248,29105,3350.1
80249,30625,189.3
80250,30625,189.3
80251,30625,189.3
80252,30625,189.3
80256,30625,189.3
80257,30625,189.3
80259,30625,189.3
80261,34538,2506.3
80262,34538,2506.3
80263,34538,2506.3
80264,0,0
80265,0,0
80266,0,0
80271,0,0
80273,0,0
80274,0,0
80281,0,0
80290,0,0
80291,0,0
80293,0,0
80294,0,0
80299,0,0
81320,187,0.8
81324,1289,1.3
81332,174,1.8
80104,30718,137.2
80108,27101,245.5
80109,22734,252.1
80116,4014,17.6
80118,6395,15
80124,21384,733.2
80125,10552,93.4
80126,43801,1429
80129,30058,1398.1
80130,28932,1635.3
80131,295,124.3
80134,66679,377.7
80135,3607,4.5
80138,33603,181.9
80163,33603,181.9
80423,225,0.4
80426,83,0.3
80463,186,0.4
81620,10842,107.5
81621,5929,10.3
81631,8411,13
81632,10011,32.5
81637,8554,3.9
81645,1114,2.6
81649,370,1.4
81655,105,0.2
81657,5850,19.4
81658,5850,19.4
80101,492,0.6
80106,5194,9.3
80107,12904,29.8
80117,2889,4.1
80830,181,0.4
80835,947,2.5
80132,20843,248
80133,2558,25.6
80808,5544,6.9
80809,1185,11.6
80817,30350,167.1
80819,779,43
80829,5794,98.1
80831,25048,44.7
80832,750,1.1
80833,729,0.6
80840,6633,89.3
80841,6633,89.3
80864,1333,2.1
80901,1333,2.1
80902,13208,330.8
80903,15519,1201.8
80904,20235,804.7
80905,16363,1265.2
80906,36199,312.2
80907,28897,1045
80908,17807,56
80909,39119,1647.2
80910,30196,1921.4
80911,35170,978.2
80912,35170,978.2
80913,3753,43.8
80914,443,212.7
80915,21325,968.4
80916,41098,778.4
80917,31541,1733.5
80918,49232,1465.4
80919,28146,736.4
80920,39758,1178.5
80921,23618,84.4
80922,29134,1713
80923,29360,1474.3
80924,8652,321
80925,10836,96.5
80926,1938,8.4
80927,3884,53.3
80928,1390,1.4
80929,140,4.1
80930,1995,8.7
80931,1995,8.7
80932,1995,8.7
80933,1995,8.7
80934,1995,8.7
80935,1995,8.7
80936,1995,8.7
80937,1995,8.7
80938,112,2
80939,0,0
80941,0,0
80942,0,0
80944,0,0
80946,0,0
80947,0,0
80949,0,0
80950,0,0
80951,4435,348.5
80960,4435,348.5
80962,4435,348.5
80970,4435,348.5
80977,4435,348.5
80995,4435,348.5
80997,4435,348.5
81212,30743,18.6
81215,30743,18.6
81221,346,79.9
81222,460,3.3
81223,1439,1.6
81226,8959,42.6
81232,27,4.6
81233,872,3.6
81240,3607,11.2
81244,381,41.7
81290,445,1.2
81601,15666,17.3
81602,15666,17.3
81623,16461,13.2
81635,6634,7.9
81636,6634,7.9
81647,7333,7.5
81650,13356,5.4
81652,4946,21.3
80422,4618,12.9
80427,781,21.7
80474,4,0.3
80442,2323,12.7
80446,4486,4.8
80447,1937,3.2
80451,994,4.2
80459,2501,1.6
80468,410,0.4
80478,1330,14.8
80482,991,4.8
81210,224,0.2
81224,3374,8.5
81225,1470,4.5
81230,9718,2
81231,680,4398.9
81237,38,0.9
81239,64,0.6
81241,114,1.5
81243,101,0.1
81434,244,0.1
81235,797,0.6
81040,298,0.4
81055,1443,2
81089,4424,2.6
80430,824,0.9
80434,41,0.6
80473,4,0.3
80480,1251,0.3
80001,22,0
80002,18266,1130
80003,36969,2012.6
80004,37042,1881.2
80005,29117,865.7
80006,29117,865.7
80007,12026,109.1
80021,33725,703.4
80033,25323,1117.2
80034,25323,1117.2
80123,46586,1457.8
80127,44851,317.7
80128,36293,1113.3
80162,33603,181.9
80214,26245,2081.7
80215,19415,1239
80225,19253,2115.8
80226,32640,1483.4
80228,34109,1059.2
80232,22553,1999.5
80401,42169,291.4
80402,42169,291.4
80403,20021,52.6
80419,0,0
80425,179,1.6
80433,8749,39.4
80437,517,17.8
80439,24687,51.9
80453,237,187.9
80454,1347,110.7
80457,372,152.1
80465,16062,129.5
80470,3186,9.5
81021,31,0
81036,1059,0.5
81045,60,0.1
81071,299,0.2
80805,383,1
80807,5112,2.8
80815,731,0.7
80834,218,0.4
80836,1082,1.2
80861,240,0.4
80429,824,0.9
80461,7426,9.5
81251,159,1
81122,8774,6.3
81137,5745,7.9
81301,30409,14.6
81302,30409,14.6
81303,8367,13.9
81326,2203,3.4
81329,4700,4.3
80511,151,275.1
80512,1708,1.7
80513,12580,60.5
80515,1069,6.4
80517,10012,12.1
80521,37076,908.8
80522,37076,908.8
80523,37076,908.8
80524,35753,96.6
80525,54286,769.2
80526,46346,447
80527,46346,447
80528,21259,365.3
80532,223,2.5
80535,2613,23
80536,2153,1.8
80537,43637,141.4
80538,48260,157
80539,48260,157
80541,4552,10.9
80545,845,1.2
80547,2221,79
80549,11342,16.3
80553,28403,149.7
81020,877,0.6
81024,190,1.2
81027,187,0.1
81046,60,0.1
81049,275,0.1
81059,541,0.2
81081,78,0.1
81082,11506,8.1
81091,523,0.7
80804,239,0.4
80818,326,0.5
80821,1066,0.5
80823,163,0.2
80826,434,0.2
80828,3583,2.4
80722,259,3.9
80726,490,0.9
80728,1156,0.9
80736,679,2.2
80741,974,1.6
80745,287,0.3
80747,383,1
80751,17445,15.5
81501,23950,1140.2
81502,23950,1140.2
81503,15763,167.8
81504,28669,971.8
81505,10298,37.5
81506,11799,328.7
81507,14985,52.9
81520,13801,251.4
81521,15781,40.3
81522,131,0.2
81523,1074,0.9
81524,1817,5.3
81525,1468,2.8
81526,5582,39.6
81527,1853,1
81624,1408,1.1
81630,900,0.3
81643,561,1.4
81646,222,1
81130,793,0.3
81610,320,0.6
81625,12478,3.2
81626,12478,3.2
81633,0,0.1
81638,153,0.3
81640,101,0
81653,16,0.2
81321,14758,13.3
81323,4418,2.4
81327,401,7.2
81328,4700,4.3
81330,94,0.2
81331,320,0.8
81334,1422,1.6
81335,24,1.9
81220,134,0.2
81401,22633,37.1
81402,22633,37.1
81403,10684,7.4
81411,52,0.2
81422,691,1
81424,1000,1.6
81425,5582,5.5
81429,46,0.3
81431,364,1.1
80649,334,0.6
80653,764,2.4
80654,2647,4
80701,15806,10.2
80705,1244,1094.6
80723,7024,9.5
80733,450,6.5
80750,285,1.2
81030,183,196.7
81039,1698,1.2
81050,9065,7.1
81058,1051,7.3
81067,5754,7.5
81077,719,451
81427,1039,4.2
81432,2998,3.8
80420,962,9.1
80421,9365,22.5
80432,187,1.6
80440,2681,3.5
80448,55,0.3
80449,778,0.6
80456,715,1
80475,30,2
80820,751,1.1
80827,717,0.9
80721,295,0.7
80731,1296,1.5
80734,2973,2.4
80746,64,42.2
81611,10653,8.9
81612,0,2.9
81615,2824,42.8
81642,0,0.2
81654,1643,6.1
81656,175,89.1
81041,860,0.6
81043,58,16.3
81047,1523,1
81052,9060,5.5
81092,766,4
81001,30764,337.7
81002,30764,337.7
81003,14942,720.4
81004,26033,60.5
81005,32062,50.3
81006,11614,78.3
81007,31860,77.5
81008,10856,27.7
81009,10856,27.7
81010,10856,27.7
81011,10856,27.7
81012,10856,27.7
81019,1735,65.7
81022,1628,1.4
81023,1192,3.8
81025,722,0.8
81069,2037,2.7
81641,3752,0.9
81648,2647,0.9
81132,2994,1.8
81135,1199,0.9
81144,7128,10
81154,1112,1.7
80428,824,0.9
80467,2145,3.7
80469,366,2.5
80477,130,2229.6
80479,5,0.2
80483,748,2.6
80487,18001,8.8
80488,205,5451.4
81639,2361,1.6
81125,3630,4.9
81131,1125,1.5
81143,774,0.8
81149,825,0.4
81155,263,0.3
81248,102,0.1
81433,516,0.8
81325,192,0.1
81423,1751,1.2
81426,141,4.1
81430,711,1.1
81435,5278,14.3
80737,1682,2.4
80744,394,1.5
80749,274,0.8
80424,10120,29.5
80435,7561,27.1
80443,4340,13.6
80497,497,12
80498,7911,10.3
80813,1589,7.2
80814,3426,15.7
80816,6245,10.8
80860,610,3.1
80863,12670,36.7
80866,1333,2.1
80720,2803,1.1
80740,112,0.3
80743,1043,0.9
80757,211,0.3
80801,120,0.4
80812,269,0.8
80504,54023,182.8
80514,5278,235.2
80516,26323,195.8
80520,1517,1435.2
80530,4460,770.6
80534,16527,90
80542,4776,156.4
80543,7001,72.1
80546,324,751.5
80550,28403,149.7
80551,28403,149.7
80610,3232,6.4
80611,1154,0.7
80612,338,1
80615,7982,27.4
80620,19407,1039.5
80621,12732,36.6
80622,170,7.8
80623,951,597
80624,1180,11.6
80631,55857,183.2
80632,55857,183.2
80633,55857,183.2
80634,58208,547.8
80638,58208,547.8
80639,58208,547.8
80642,3842,17.5
80643,4177,5.6
80644,3207,7.2
80645,4465,11.2
80646,4465,11.2
80648,1243,2.5
80650,1558,10.9
80651,4316,16.9
80652,330,1.2
80729,669,0.3
80732,1296,1.5
80742,209,0.2
80754,177,0.3
80727,460,0.8
80735,380,0.5
80755,117,0.6
80758,3628,2.1
80759,4828,2.8
80822,196,0.5
80824,235,0.7
6404,6115,240.9
6440,2860,80.1
6468,19621,288.5
6470,16680,166.4
6482,11173,218.9
6484,41155,498.6
6491,33620,445.4
6601,8868,184.5
6602,8868,184.5
6604,28436,3734.7
6605,24822,3853.1
6606,47227,3373.1
6607,8801,2590
6608,13856,5115.6
6610,23275,2870.5
6611,36174,582.4
6612,7558,107.2
6614,33585,1156.3
6615,18694,1100.4
6673,18694,1100.4
6699,18694,1100.4
6784,3738,61.4
6801,19551,423.2
6804,17291,321.5
6807,7390,877.7
6810,51813,922.3
6811,32388,571.7
6812,13992,262.2
6813,13992,262.2
6814,13992,262.2
6816,13992,262.2
6817,13992,262.2
6820,21759,632.6
6824,35119,650.1
6825,21999,1212.3
6828,21999,1212.3
6829,21999,1212.3
6830,25247,682.6
6831,14629,207.4
6836,14629,207.4
6838,14629,207.4
6840,20273,343.4
6850,18156,1039.9
6851,26671,1350.6
6852,26671,1350.6
6853,3875,1175.6
6854,30975,2303.2
6855,8528,1282.8
6856,5,313.5
6857,5,313.5
6858,5,313.5
6860,5,313.5
6870,7506,1230.5
6875,7506,1230.5
6876,7506,1230.5
6877,25092,275.4
6878,8081,1294.9
6879,8081,1294.9
6880,28234,511.3
6881,28234,511.3
6883,10288,198.8
6888,10288,198.8
6889,10288,198.8
6890,4312,574.5
6896,9187,111.8
6897,18542,260.3
6901,7049,5667.6
6902,68646,2405.4
6903,14472,320.2
6904,14472,320.2
6905,20493,1527.4
6906,9131,2902
6907,8956,1678
6910,8956,1678
6911,8956,1678
6912,8956,1678
6913,8956,1678
6914,8956,1678
6920,8956,1678
6921,8956,1678
6922,8956,1678
6926,8956,1678
6927,8956,1678
6001,18532,304.5
6002,20952,303.5
6006,20952,303.5
6010,60308,884.1
6011,60308,884.1
6013,9607,121.2
6016,6900,160.3
6019,10211,170.4
6020,0,0
6022,95,38.8
6023,1247,546.1
6025,402,31.4
6026,5256,117.3
6027,1405,36.6
6028,1405,36.6
6030,15988,177.6
6032,17624,300.7
6033,29026,323.4
6034,29026,323.4
6035,7525,188.9
6037,19272,282.3
6040,34602,803.3
6041,34602,803.3
6042,23353,848.8
6045,4928,133.6
6050,4928,133.6
6051,30220,2882.7
6052,7859,1189.3
6053,34772,1680.9
6059,0,0
6060,2949,82.6
6062,17720,783
6064,3160,42.9
6067,20137,565.2
6070,15689,266.5
6073,5515,129
6074,25823,353.8
6078,12540,187.6
6080,12540,187.6
6081,1414,776.4
6082,44455,517.5
6083,44455,517.5
6085,7548,587.3
6087,7548,587.3
6088,4479,169.4
6089,3156,404.9
6090,857,35.1
6091,122,4.9
6092,4322,188
6093,3122,76.6
6095,28948,379.3
6096,12613,502.7
6101,12374,84.8
6102,12374,84.8
6103,1861,1157.7
6104,1861,1157.7
6105,19373,3186.2
6106,37819,3645.3
6107,18914,1111.8
6108,24672,1156.2
6109,26267,837
6110,12658,1464.3
6111,30323,898
6112,21100,3241.4
6114,28691,2622.2
6115,28691,2622.2
6117,16165,671
6118,25818,1051
6119,15715,2927.9
6120,14534,1398.6
6123,14534,1398.6
6126,14534,1398.6
6127,14534,1398.6
6128,14534,1398.6
6129,14534,1398.6
6131,14534,1398.6
6132,14534,1398.6
6133,14534,1398.6
6134,14534,1398.6
6137,14534,1398.6
6138,14534,1398.6
6140,14534,1398.6
6141,14534,1398.6
6142,14534,1398.6
6143,14534,1398.6
6144,14534,1398.6
6145,14534,1398.6
6146,14534,1398.6
6147,14534,1398.6
6150,14534,1398.6
6151,14534,1398.6
6152,14534,1398.6
6153,14534,1398.6
6154,14534,1398.6
6155,14534,1398.6
6156,14534,1398.6
6160,0,0
6161,0,0
6167,0,0
6176,0,0
6180,0,0
6183,0,0
6199,0,0
6444,158,217.6
6447,6394,105.9
6467,287,906.6
6479,9592,547.3
6489,33620,445.4
6018,2885,93
6021,325,21.5
6024,402,31.4
6031,1476,12.9
6039,2028,35.7
6057,6371,71
6058,1536,13.6
6061,104,510.9
6063,3160,42.9
6065,797,35.4
6068,1396,20
6069,2411,19.5
6079,12540,187.6
6094,3122,76.6
6098,12374,84.8
6750,1147,75
6751,3384,72.8
6752,1716,40.1
6753,1716,40.1
6754,1778,20.3
6755,1050,97
6756,2849,30.6
6757,2124,25.3
6758,364,51.9
6759,5761,44
6763,1924,53.4
6776,26049,186.7
6777,1294,42.1
6778,1359,75
6779,8248,1006.2
6781,8248,1006.2
6782,2391,122.1
6783,2093,33.3
6785,686,19.7
6786,9391,265.4
6787,7815,251.7
6790,34653,338.7
6791,5469,70.9
6792,5469,70.9
6793,1368,31.1
6794,1044,30.3
6795,13519,208.4
6796,931,10.5
6798,9617,106
6409,466,197.8
6412,4268,96.1
6413,12958,315.5
6414,91,284.9
6416,13973,465.7
6417,4493,132.3
6419,6414,71.3
6422,7248,120.6
6423,5342,51.2
6424,12842,122.8
6426,3509,219.1
6438,2860,80.1
6441,5026,81.1
6442,2624,318
6455,3171,112
6456,304,131.3
6457,46473,448.5
6459,46473,448.5
6469,2904,123.2
6475,10118,262.6
6480,9362,157.2
6481,1214,274.3
6498,6922,170.4
6401,18787,1236.6
6403,6115,240.9
6405,27825,506.2
6408,27825,506.2
6410,29138,345.6
6411,29138,345.6
6418,12669,983.8
6437,22285,183.5
6443,18183,195.1
6450,34884,1004
6451,25086,963.8
6460,38973,1175.1
6461,15074,583.8
6471,7676,331.1
6472,6801,161.9
6473,24278,435
6477,13937,313.6
6478,13022,149.5
6483,16522,439.9
6487,41155,498.6
6488,19754,197
6492,44841,441.7
6493,44841,441.7
6494,44841,441.7
6495,44841,441.7
6501,6922,170.4
6502,6922,170.4
6503,6922,170.4
6504,6922,170.4
6505,6922,170.4
6506,6922,170.4
6507,6922,170.4
6508,6922,170.4
6509,6922,170.4
6510,2586,4373.8
6511,52669,3488.9
20022,56131,4174.5
20024,13354,1699.3
20026,13354,1699.3
20027,13354,1699.3
20029,13354,1699.3
20030,13354,1699.3
20032,42930,2621.5
20033,42930,2621.5
20035,42930,2621.5
20036,5798,6303.5
20037,14559,8799.9
20038,14559,8799.9
20039,14559,8799.9
20040,14559,8799.9
20041,14559,8799.9
20042,14559,8799.9
20043,14559,8799.9
20044,14559,8799.9
20045,0,0
20047,0,0
20049,0,0
20050,0,0
20052,751,66553.4
20053,0,0
20055,0,0
20056,0,0
20057,3841,8831.6
20058,3841,8831.6
20059,3841,8831.6
20060,3841,8831.6
20061,3841,8831.6
20062,3841,8831.6
20063,3841,8831.6
20064,2207,3769.6
20065,2207,3769.6
20066,2207,3769.6
20067,2207,3769.6
20068,2207,3769.6
20069,2207,3769.6
20070,2207,3769.6
20071,2207,3769.6
20073,2207,3769.6
20074,2207,3769.6
20075,2207,3769.6
20076,2207,3769.6
20077,2207,3769.6
20078,2207,3769.6
20080,2207,3769.6
20081,2207,3769.6
20082,2207,3769.6
20090,2207,3769.6
20091,2207,3769.6
20201,2175,13.2
20202,0,0
20203,0,0
20204,0,0
20206,0,0
20207,0,0
20208,0,0
20210,0,0
20211,0,0
20212,0,0
20213,0,0
20214,0,0
20215,0,0
20216,0,0
20217,0,0
20218,0,0
20219,0,0
20220,0,0
20221,0,0
20222,0,0
20223,0,0
20224,0,0
20226,0,0
20227,0,0
20228,0,0
20229,0,0
20230,0,0
20232,0,0
20233,0,0
20235,0,0
20237,0,0
20238,0,0
20239,0,0
20240,0,0
20241,0,0
20242,0,0
20244,0,0
20245,0,0
20250,0,0
20251,0,0
20252,0,0
20254,0,0
20260,0,0
20261,0,0
20262,0,0
20265,0,0
20266,0,0
20268,0,0
20270,0,0
20277,0,0
20289,0,0
20299,0,0
20301,0,0
20303,0,0
20306,0,0
20310,0,0
20314,0,0
20317,406,762.1
20318,406,762.1
20319,42,233.8
20330,42,233.8
20340,42,233.8
20350,42,233.8
20355,42,233.8
20370,42,233.8
20372,42,233.8
20373,144,139.3
20374,144,139.3
20375,144,139.3
20376,144,139.3
20380,144,139.3
20388,144,139.3
20389,144,139.3
20390,359,53406.5
20391,359,53406.5
20392,359,53406.5
20393,359,53406.5
20394,359,53406.5
20395,359,53406.5
20398,359,53406.5
20401,359,53406.5
20402,359,53406.5
20403,359,53406.5
20404,359,53406.5
20405,0,0
20406,0,0
20407,0,0
20408,0,0
20409,0,0
20410,0,0
20411,0,0
20412,0,0
20413,0,0
20414,0,0
20415,0,0
20416,0,0
20417,0,0
20418,0,0
20419,0,0
20420,0,0
20421,0,0
20422,0,0
20423,0,0
20424,0,0
20425,0,0
20426,0,0
20427,0,0
20428,0,0
20429,0,0
20431,0,0
20433,0,0
20434,0,0
20435,0,0
20436,0,0
20437,0,0
20439,0,0
20440,0,0
20441,0,0
20442,0,0
20444,0,0
20447,0,0
20451,0,0
20453,0,0
20456,0,0
20460,0,0
20463,0,0
20468,0,0
20469,0,0
20470,0,0
20472,0,0
20500,0,0
20501,0,0
20502,0,0
20503,0,0
20504,0,0
20505,0,0
20506,0,0
20507,0,0
20508,0,0
20509,0,0
20510,0,0
20511,0,0
20515,0,0
20520,0,0
20521,0,0
20522,0,0
20523,0,0
20524,0,0
20525,0,0
20526,0,0
20527,0,0
20528,0,0
20529,0,0
20530,0,0
20531,0,0
20533,0,0
20534,0,0
20535,0,619.2
20536,0,619.2
20537,0,619.2
20538,0,619.2
20539,0,619.2
20540,0,0
20541,0,0
20542,0,0
20543,0,0
20544,0,0
20546,0,0
20547,0,0
20548,0,0
20549,0,0
20551,0,0
20552,0,0
20553,0,0
20554,0,0
20555,0,0
20557,0,0
20559,0,0
20560,0,0
20565,0,0
20566,0,0
20570,0,0
20571,0,0
20572,0,0
20573,0,0
20575,0,0
20576,0,0
20577,0,0
20578,0,0
20579,0,0
20580,0,0
20581,0,0
20585,0,0
20586,0,0
20590,0,0
20591,0,0
20593,0,0
20594,0,0
20597,0,0
20599,0,0
56901,5157,8.2
56915,5157,8.2
56920,5157,8.2
56933,5157,8.2
56944,5157,8.2
56972,5157,8.2
19901,37234,170.2
19902,386,299.6
19903,386,299.6
19904,35718,299.5
19905,35718,299.5
19906,35718,299.5
19934,14309,112.8
19936,282,513.5
19938,8808,66.2
19943,11590,66.9
19946,5438,77.4
19952,10629,44.8
19953,4528,57.8
19954,1301,65.5
19955,34,480.7
19961,6571,82.3
19962,11820,272.6
19964,1152,54.5
19977,25568,106.7
19979,915,120.3
19980,915,120.3
19701,38941,568.8
19702,55192,707.6
19703,14652,1423.8
19706,1780,190.9
19707,16113,482.1
19708,16113,482.1
19709,40802,170.2
19710,0,141.8
19711,52033,723.6
19712,52033,723.6
19713,30212,857.6
19714,30212,857.6
19715,30212,857.6
19716,1159,11519.7
19717,4091,7834.4
19718,4091,7834.4
19720,61324,616.5
19721,61324,616.5
19725,61324,616.5
19726,61324,616.5
19730,1064,127.3
19731,300,101.5
19732,99,15.3
19733,142,1035.5
19734,12855,57.5
19735,53,23.9
19736,69,93.1
19801,16299,1520.9
19802,26303,2996.7
19803,22236,654.7
19804,17453,926.5
19805,38984,2971.3
19806,9930,1914.7
19807,7075,145.8
19808,40419,1061.4
19809,15065,775.2
19810,25707,1223
19850,25707,1223
19880,25707,1223
19884,25707,1223
19885,25707,1223
19886,25707,1223
19890,25707,1223
19891,25707,1223
19892,25707,1223
19893,25707,1223
19894,25707,1223
19895,25707,1223
19896,25707,1223
19897,25707,1223
19898,25707,1223
19899,25707,1223
19930,2441,189.3
19931,242,89.4
19933,10536,52.1
19939,7221,88.7
19940,5538,52
19941,2853,29
19944,647,188.7
19945,6630,42.4
19947,20057,60.6
19950,7515,35.9
19951,2044,66.1
19956,14777,59.2
19958,25027,154.6
19960,6571,82.3
19963,20783,69.5
19966,27819,109.7
19967,1425,94.3
19968,11267,58.8
19969,11267,58.8
19970,8347,246.2
19971,13216,289
19973,25134,117
19975,9341,117.1
32601,18579,1579
32602,18579,1579
32603,7195,1903.4
32604,7195,1903.4
32605,24684,885.2
32606,23766,493.5
32607,30624,970.3
32608,48905,454
32609,19906,64.5
32610,19906,64.5
32611,19906,64.5
32612,7606,2581.2
32614,7606,2581.2
32615,14630,39.8
32616,1142,524.7
32618,8058,32.8
32627,8784,15.4
32631,264,60.4
32633,264,60.4
32635,264,60.4
32640,10790,19.4
32641,14989,112.3
32643,11207,36
32653,13168,126.7
32654,13168,126.7
32655,13168,126.7
32658,376,39.6
32662,376,39.6
32667,4090,15.7
32669,13098,43.3
32694,2454,30.9
32040,7570,24.1
32063,13840,50.7
32072,299,4.7
32087,5979,15.8
32401,22566,817.3
32402,22566,817.3
32403,3374,26.2
32404,40029,115.1
32405,32064,609.1
32406,32064,609.1
32407,10433,260
32408,18141,561.7
32409,10191,44.4
32410,987,14.2
32411,987,14.2
32412,987,14.2
32413,14619,69.4
32417,14619,69.4
32438,3473,24.9
32444,21730,780.5
32466,6450,19.2
32042,7570,24.1
32044,1824,34.1
32058,4585,23.6
32091,15311,44.8
32622,1004,8.2
32754,10436,31.6
32775,30955,401.4
32780,35399,209.6
32781,35399,209.6
32783,35399,209.6
32796,20948,530.8
32815,7155,1820.6
32899,52371,2594.8
32901,24772,753.8
32902,24772,753.8
32903,14090,1344.8
32904,31206,537.9
32905,23395,897.6
32906,23395,897.6
32907,44097,910.9
32908,13001,218.2
32909,30798,268.3
32910,30798,268.3
32911,30798,268.3
32912,30798,268.3
32919,30798,268.3
32920,10181,977
32922,15741,1047.8
32923,15741,1047.8
32924,15741,1047.8
32925,1506,152.4
32926,22350,173.2
32927,26687,494.1
32931,14118,1007.3
32932,14118,1007.3
32934,18761,276.3
32935,41550,1171.4
32936,41550,1171.4
32937,27126,1437.1
32940,39396,94.9
32941,39396,94.9
32949,2629,53.3
32950,4222,86.1
32951,12029,506.5
32952,20732,620.3
32953,24181,272.3
32954,24181,272.3
32955,39127,633.9
32956,39127,633.9
32959,27676,350.9
32976,9001,136.6
33004,16812,1054.2
33008,16812,1054.2
33009,41276,2983.8
33019,14933,1494
33020,44578,2636.5
33021,49350,2036.3
33022,49350,2036.3
33023,73671,2548.4
33024,75306,2300.5
33025,71763,2148.5
33026,31045,2428.7
33027,60191,1666.1
33028,27235,1792.7
33029,47895,1005.9
33060,37168,1764.7
33061,37168,1764.7
33062,22014,2432.4
33063,54937,2235.9
33064,61397,1954.1
33065,57399,2417.7
33066,16786,1990.5
33067,27784,986.7
33068,51617,3243.1
33069,27612,1058.2
33071,39839,1909.8
33072,39839,1909.8
33073,34652,1410.9
33074,34652,1410.9
33075,34652,1410.9
33076,36600,1082.4
33077,36600,1082.4
33081,36600,1082.4
33082,36600,1082.4
33083,36600,1082.4
33084,36600,1082.4
33093,36600,1082.4
33097,36600,1082.4
33301,15062,2264.9
33302,15062,2264.9
33303,15062,2264.9
33304,18771,2154.1
33305,12425,2108.5
33306,3378,1550.3
33307,3378,1550.3
33308,27951,2395.5
33309,40926,1360.9
33310,40926,1360.9
33311,73034,2380.1
33312,53552,1715
33313,62405,3363.9
33314,26188,1011.2
33315,13362,896.5
33316,9801,788
33317,38360,1422.9
33318,38360,1422.9
33319,47021,2464.2
33320,47021,2464.2
33321,47974,2076.5
33322,39049,2688.2
33323,21195,1219.3
33324,48807,1802.4
33325,28987,1134
33326,32946,1340.6
33327,23762,779.4
33328,28782,1126.1
33329,28782,1126.1
33330,15226,530.7
33331,25854,722.4
33332,11518,141
33334,29478,2319
33335,29478,2319
33336,29478,2319
33337,29478,2319
33338,29478,2319
33339,29478,2319
33340,29478,2319
33345,29478,2319
33346,29478,2319
33348,29478,2319
33349,29478,2319
33351,35581,2293.3
33355,35581,2293.3
33359,35581,2293.3
33388,35581,2293.3
