zipcode,population,pop_density
95230,597,2.3
95231,5092,159.5
95234,113,0.8
95236,4223,15.1
95237,3531,153.1
95240,48838,220.2
95241,48838,220.2
95242,26235,102.1
95253,15703,42.4
95258,3881,481.3
95267,3881,481.3
95269,3881,481.3
95296,3881,481.3
95297,3881,481.3
95304,14539,38
95320,13094,55.8
95330,21552,320.4
95336,47612,430.3
95337,37706,268.2
95366,17654,186.1
95376,53542,2522.6
95377,32501,110.4
95378,32501,110.4
95385,440,6.7
95391,16562,161.9
95686,1209,19.9
93401,28423,154.8
93402,16350,190
93403,16350,190
93405,36550,155.9
93406,36550,155.9
93407,36550,155.9
93408,36550,155.9
93409,36550,155.9
93410,0,0
93412,0,0
93420,30136,58.6
93421,30136,58.6
93422,33806,200.1
93423,33806,200.1
93424,776,185
93428,5981,31.7
93430,2947,15.9
93432,1125,5.9
93433,13538,2349
93435,7350,83.1
93442,10976,92.8
93443,10976,92.8
93444,20775,107.9
93445,7383,164.8
93446,44753,40.4
93447,44753,40.4
93448,44753,40.4
93449,8116,295.8
93451,4089,2.9
93452,795,1.8
93453,2953,1.8
93461,1451,1.8
93465,8914,40.1
93475,8914,40.1
93483,8914,40.1
94002,27202,1772.8
94005,4692,376.1
94010,42730,1328.3
94011,42730,1328.3
94014,49515,2880.9
94015,64887,4090.5
94016,64887,4090.5
94017,64887,4090.5
94018,64887,4090.5
94019,20314,135.3
94020,1334,10.8
94021,436,16.3
94025,42788,1306.6
94026,42788,1306.6
94027,7444,526.7
94028,6868,165.6
94030,22710,2453.7
94037,2692,194.8
94038,3687,744.8
94044,39065,981.3
94060,1081,8.2
94061,39624,3624.9
94062,27757,140.9
94063,34503,1805.7
94064,34503,1805.7
94065,12579,1921.9
94066,43124,2592.3
94070,31049,1836.4
94074,197,4.5
94080,67597,2388.1
94083,67597,2388.1
94128,135,7.6
94303,48039,2203.9
94401,35414,4167.5
94402,25764,1903.9
94403,44300,2718
94404,36905,3030.8
94497,36905,3030.8
93013,16644,109.1
93014,16644,109.1
93067,454,586.4
93101,31624,3566.5
93102,31624,3566.5
93103,20353,1492.3
93105,27515,98.6
93106,27515,98.6
93107,27515,98.6
93108,10896,202.4
93109,11573,1238.5
93110,16660,616.1
93111,17263,827.4
93116,17263,827.4
93117,58431,120.8
93118,58431,120.8
93120,58431,120.8
93121,58431,120.8
93130,58431,120.8
93140,58431,120.8
93150,58431,120.8
93160,58431,120.8
93190,58431,120.8
93199,58431,120.8
93254,858,2.3
93427,6071,38
93429,111,8
93434,7350,83.1
93436,56406,95.2
93437,3379,33.2
93438,3379,33.2
93440,1648,19.8
93441,1013,10.8
93454,40604,33
93455,45116,148.9
93456,45116,148.9
93457,45116,148.9
93458,57369,781.8
93460,4929,16.4
93463,8025,97.8
93464,8025,97.8
94022,19378,408.9
94023,19378,408.9
94024,23961,1181.4
94035,22710,2453.7
94039,3687,744.8
94040,35845,3454.9
94041,14394,3351.3
94042,14394,3351.3
94043,31488,1025.5
94085,23612,2349.8
94086,49630,3930.6
94087,57219,3184.4
94088,57219,3184.4
94089,22313,1240.2
94301,17191,2767.2
94302,17191,2767.2
94304,3902,215.4
94305,15730,1043.7
94306,27549,2437.2
94309,27549,2437.2
95002,2146,67.6
95008,46513,2701.3
95009,46513,2701.3
95011,9030,2570.5
95013,77,20.5
95014,62430,864.3
95015,62430,864.3
95020,63852,141.9
95021,63852,141.9
95026,52646,45.8
95030,13288,480.1
95031,13288,480.1
95032,26281,602.6
95033,9597,39.5
95035,77562,1105.3
95036,77562,1105.3
95037,51652,72.3
95038,51652,72.3
95042,353,1525.5
95044,732,0.3
95046,6025,127
95050,39452,2632.1
95051,58123,3151.7
95052,58123,3151.7
95053,3678,4987.4
95054,24264,1439.8
95055,24264,1439.8
95056,24264,1439.8
95070,31308,464.2
95071,31308,464.2
95101,86703,233.2
95103,86703,233.2
95106,86703,233.2
95108,86703,233.2
95109,86703,233.2
95110,20203,1548.7
95111,62392,4166.3
95112,61060,3045
95113,1939,1014.1
95115,1939,1014.1
95116,56481,5536.8
95117,29592,4522.4
95118,32560,3022.7
95119,10472,1358.6
95120,37774,363.9
95121,38102,3262.4
95122,57780,4591.2
95123,67186,2900.3
95124,51170,2778.1
95125,53574,2510.1
95126,35988,3645.5
95127,65686,1821.8
95128,37665,3446.2
95129,39828,3309.7
95130,14863,3468.2
95131,31170,1890.7
95132,41844,302.7
95133,28726,3069.3
95134,27224,587.4
95135,22358,254.1
95136,47599,3556.1
95138,20766,279.8
95139,7293,2116.6
95140,115,0.6
95141,115,0.6
95148,48854,1865.2
95150,48854,1865.2
95151,48854,1865.2
95152,48854,1865.2
95153,48854,1865.2
95154,48854,1865.2
95155,48854,1865.2
95156,48854,1865.2
95157,48854,1865.2
95158,48854,1865.2
95159,48854,1865.2
95160,48854,1865.2
95161,48854,1865.2
95164,48854,1865.2
95170,48854,1865.2
95172,48854,1865.2
95173,48854,1865.2
95190,48854,1865.2
95191,48854,1865.2
95192,48854,1865.2
95193,48854,1865.2
95194,48854,1865.2
95196,48854,1865.2
95001,1342,138.5
95003,24837,263.6
95005,7710,204
95006,9238,64.8
95007,681,456.1
95010,9030,2570.5
95017,603,6.4
95018,7060,159.7
95019,7703,2457.2
95041,353,1525.5
95060,47367,264
95061,47367,264
95062,38028,2760.3
95063,38028,2760.3
95064,10299,1509.1
95065,8355,279.9
95066,15217,300.5
95067,15217,300.5
95073,10949,184.9
95076,86703,233.2
95077,86703,233.2
96001,34571,148.7
96002,33901,425
96003,44475,72.3
96007,23106,68.1
96008,1328,13.1
96011,162,0.3
96013,4810,7.1
96016,375,3.4
96017,152,0.5
96019,10111,355.8
96022,16442,25.2
96028,1359,3.4
96033,500,1.2
96040,178,1.1
96047,851,1.9
96049,87,2.3
96051,1351,1.4
96056,1572,1.9
96062,1007,5.9
96065,359,1.6
96069,828,4.3
96070,828,4.3
96071,49,0.6
96073,3939,35.4
96076,200,0.3
96079,200,0.3
96084,458,2.3
96087,589,3
96088,4419,11
96089,4419,11
96095,6556,10.3
96096,732,2.4
96099,9647,20.3
95910,65,1
95936,114,1.3
95944,29,0.4
96118,1808,3.1
96124,329,2.2
96125,184,1
96126,103,0.9
95568,253,0.6
96014,145,0.6
96023,1114,1.9
96025,1957,9.7
96027,2416,1.8
96031,136,0.2
96032,2510,2
96034,236,1
96037,335,29.6
96038,827,12.8
96039,907,0.8
96044,931,2.8
96050,418,0.6
96057,1299,1.7
96058,686,0.7
96064,4769,3.7
96067,6910,20.4
96085,85,0.4
96086,309,0.5
96094,6556,10.3
96097,9647,20.3
96134,1918,2.9
94510,28262,374.2
94512,16,2.1
94533,75635,1238.2
94534,38444,177.6
94535,3857,384.2
94571,9784,26
94585,29599,97.1
94589,30668,1003.6
94590,37377,2301.7
94591,55334,949
94592,1087,67.7
95620,21854,33
95625,67,51.8
95687,68069,577.6
95688,37227,163.5
95696,40857,103.1
94922,603,13.3
94923,846,25.5
94926,9866,1129.3
94927,9866,1129.3
94928,44103,2163.7
94931,8601,514.8
94951,4571,108.6
94952,36184,70.4
94953,36184,70.4
94954,38414,232.7
94955,38414,232.7
94972,23,1.7
94975,1342,138.5
94999,1342,138.5
95401,38986,692.3
95402,38986,692.3
95403,45355,791.7
95404,40474,192
95405,21448,1508.7
95406,21448,1508.7
95407,42483,669.9
95409,27312,273.5
95412,402,1.8
95416,1262,11.1
95419,389,1.5
95421,1681,2.8
95425,10586,20.3
95430,7,71.5
95431,196,3209
95433,519,2.3
95436,6352,91
95439,774,95.2
95441,2053,7.6
95442,3136,50.3
95444,715,1067.2
95446,5100,55.7
95448,17482,34.5
95450,298,5.4
95452,970,37.4
95462,1265,93.1
95465,2104,19.3
95471,470,139.8
95472,30762,157.8
95473,30762,157.8
95476,36792,122
95480,36792,122
95486,73,1235.9
95487,73,1235.9
95492,29920,579
95497,1161,31.2
95307,44736,492.7
95313,1225,10.4
95316,6616,38.1
95319,1529,1083.3
95323,1222,16.3
95326,9888,134.7
95328,4518,1515.2
95329,2685,8.8
95350,53098,2214.2
95351,50079,2019.1
95352,50079,2019.1
95353,50079,2019.1
95354,24743,1343.4
95355,59028,2375.1
95356,32842,525.3
95357,11322,112
95358,33345,102.7
95360,13029,13.5
95361,34558,52.7
95363,26900,82.7
95367,25162,2015.9
95368,14520,1588.1
95380,42672,211.9
95381,42672,211.9
95382,38343,1327.2
95386,10587,44.8
95387,710,2.1
95397,16562,161.9
95659,861,5.4
95668,743,5.2
95674,913,11.3
95676,607,213.4
95953,10942,36.4
95957,888,4.2
95982,3229,28
95991,40684,385.2
95992,40684,385.2
95993,36962,162.8
96021,16228,26.1
96029,195,1.4
96035,3731,28
96055,3914,24.2
96059,599,3.4
96061,19,0.3
96063,292,4
96074,174,1
96075,331,2.1
96078,200,0.3
96080,28487,18.1
96090,445,158.2
96092,254,3.9
95527,570,1.8
95552,659,0.5
95563,604,4.2
95595,182,0.4
96010,146,0.2
96024,933,2.5
96041,2797,3.2
96046,165,0.7
96048,713,1.9
96052,1493,7.3
96091,578,0.6
96093,3955,27.2
93201,1431,6.7
93207,239,1.7
93208,47,0.7
93218,873,6
93219,10167,40.4
93221,14328,43.8
93223,10742,1656.9
93227,180,1.2
93235,4198,610.9
93237,4198,610.9
93244,395,3
93247,18522,88.8
93256,5939,27.8
93257,76923,65.1
93258,2075,1825.9
93260,228,2.3
93261,2715,140.9
93262,63,0.3
93265,3271,3.8
93267,6347,32
93270,5542,36.5
93271,2432,2.3
93272,4454,16.5
93274,73778,125.7
93275,73778,125.7
93277,53015,488.7
93278,53015,488.7
93279,53015,488.7
93282,27698,32.6
93286,9755,43.1
93290,96,0.8
93291,57968,241.1
93292,41031,138.7
93603,183,2
93615,6513,139.4
93618,31230,163.7
93619,37463,62.7
93633,0,0.5
93647,10896,42.9
93666,952,714.5
93670,164,16.7
93673,740,331
95305,37,6.6
95309,44736,492.7
95310,1995,18.4
95321,3337,8.2
95327,7711,24.1
95335,201,5
95346,1661,81.9
95347,1661,81.9
95364,0,0.1
95370,27951,100.3
95372,2164,283
95373,2164,283
95375,5,13.4
95379,3586,27.9
95383,3828,19.4
91319,29964,2074.1
91320,45520,937.3
